date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:13	9090/9090	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/html	date:Fri,%2028%20Feb%202025%2012:41:12%20GMT	https://startup-tailwind.preview.uideck.com/robots.txt		(from )
12:41:13	131060/131060	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:13%20GMT	https://startup-tailwind.preview.uideck.com/	startup-tailwind.preview.uideck.com/index.html	(from )
12:41:14	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%227acbce83cc8c294f1bc6a34bd14ad7b3%22	https://startup-tailwind.preview.uideck.com/favicon.ico	startup-tailwind.preview.uideck.com/favicon.ico	(from https://startup-tailwind.preview.uideck.com/)
12:41:15	52437/52437	---MCZ	200	added ('OK')	text/css	etag:W/%228eeeee21cd5e2dd9623a1feed8650272%22	https://startup-tailwind.preview.uideck.com/style.css	startup-tailwind.preview.uideck.com/style.css	(from https://startup-tailwind.preview.uideck.com/)
12:41:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:15%20GMT	https://startup-tailwind.preview.uideck.com/index.html	startup-tailwind.preview.uideck.com/index-2.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:17	2648/2648	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2272505537028392c868016c33db711fcc%22	https://startup-tailwind.preview.uideck.com/images/logo-2.svg	startup-tailwind.preview.uideck.com/images/logo-2.svg	(from https://startup-tailwind.preview.uideck.com/)
12:41:18	2645/2645	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228370a3754a38531c35c60a309ee5d1b6%22	https://startup-tailwind.preview.uideck.com/images/logo.svg	startup-tailwind.preview.uideck.com/images/logo.svg	(from https://startup-tailwind.preview.uideck.com/)
12:41:18	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:18%20GMT	https://startup-tailwind.preview.uideck.com/about.html	startup-tailwind.preview.uideck.com/about.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:20	43016/43016	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:19%20GMT	https://startup-tailwind.preview.uideck.com/about	startup-tailwind.preview.uideck.com/about.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:20%20GMT	https://startup-tailwind.preview.uideck.com/contact.html	startup-tailwind.preview.uideck.com/contact.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:22	43787/43787	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:21%20GMT	https://startup-tailwind.preview.uideck.com/contact	startup-tailwind.preview.uideck.com/contact.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:22	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:22%20GMT	https://startup-tailwind.preview.uideck.com/blog-grids.html	startup-tailwind.preview.uideck.com/blog-grids.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:24	66553/66553	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:23%20GMT	https://startup-tailwind.preview.uideck.com/blog-grids	startup-tailwind.preview.uideck.com/blog-grids.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:24	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:24%20GMT	https://startup-tailwind.preview.uideck.com/blog-sidebar.html	startup-tailwind.preview.uideck.com/blog-sidebar.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:26	67061/67061	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:25%20GMT	https://startup-tailwind.preview.uideck.com/blog-sidebar	startup-tailwind.preview.uideck.com/blog-sidebar.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:26	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:26%20GMT	https://startup-tailwind.preview.uideck.com/blog-details.html	startup-tailwind.preview.uideck.com/blog-details.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:28	52091/52091	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:27%20GMT	https://startup-tailwind.preview.uideck.com/blog-details	startup-tailwind.preview.uideck.com/blog-details.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:28%20GMT	https://startup-tailwind.preview.uideck.com/signin.html	startup-tailwind.preview.uideck.com/signin.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:30	39021/39021	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:29%20GMT	https://startup-tailwind.preview.uideck.com/signin	startup-tailwind.preview.uideck.com/signin.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:30%20GMT	https://startup-tailwind.preview.uideck.com/signup.html	startup-tailwind.preview.uideck.com/signup.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:32	39484/39484	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Feb%202025%2012:41:31%20GMT	https://startup-tailwind.preview.uideck.com/signup	startup-tailwind.preview.uideck.com/signup.html	(from https://startup-tailwind.preview.uideck.com/)
12:41:32	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2028%20Feb%202025%2012:41:32%20GMT	https://startup-tailwind.preview.uideck.com/404.html	startup-tailwind.preview.uideck.com/404.html	(from https://startup-tailwind.preview.uideck.com/)
